t,x[0],x[1],x[2],x[3],x[4],x[5]
0.001,-1821889.1684978283,-5428727.4005841,4114917.5508444295,-2636.4967927898874,-3681.5810143625545,-6004.157910040452
0.006,-1821902.3509559021,-5428745.808412026,4114887.529996404,-2636.48643669452,-3681.550156113008,-6004.181300139972
0.028752630125419697,-1821962.3374205027,-5428829.571763529,4114750.9178692303,-2636.4393100700045,-3681.4097335337274,-6004.287735234083
0.1425157807525182,-1822262.2536587173,-5429248.340594952,4114067.820910404,-2636.2036537544245,-3680.7075883801663,-6004.819857516099
0.7113315338880106,-1823761.4325938027,-5431340.986410254,4110651.428355036,-2635.024792460523,-3677.1960565060926,-6007.479138972919
3.555410299565473,-1831247.253843488,-5441774.233283793,4093546.8106574025,-2629.1160067367973,-3659.618284834234,-6020.742267480823
17.775804127952785,-1868422.4037962721,-5493187.9778050445,4007462.2544438764,-2599.2118130983217,-3571.2316777870933,-6086.222222688174
27.64096758036642,-1893960.2314390314,-5528114.265050263,3947200.1177114295,-2578.11610409029,-3509.4351476276515,-6130.824082450835
76.9667848424346,-2018451.1606080832,-5693498.352213003,3639475.071281432,-2468.423843236698,-3194.814619389297,-6343.532305777229
98.62263187367748,-2071364.4028500984,-5761161.583391211,3501142.964025684,-2418.0996332321893,-3053.86772867589,-6431.395968876559
206.90186702989183,-2318833.9114639508,-6052772.652277144,2783009.894179681,-2147.8019612279304,-2326.5000292522345,-6818.307688747803
240.09179079421534,-2388654.253379891,-6126187.556607272,2555017.4847497605,-2059.0836495342755,-2096.9727260122104,-6918.909442755701
406.04140961583283,-2691343.3263934725,-6376865.501031055,1372967.6960668834,-1579.44357221026,-916.4603375295787,-7289.799115866348
443.2769688247485,-2748023.1716349516,-6405967.337336049,1100519.5301238918,-1464.554501475271,-646.4641584502825,-7342.043757169413
475.49107813785525,-2793576.199765508,-6423019.015920644,863400.9366625781,-1363.312312318381,-412.08508778346174,-7377.9237086799385
507.19722195256486,-2835201.21264119,-6432421.471926448,629027.7868816339,-1262.1158843757214,-180.96475808405836,-7404.755312794042
665.7279410261131,-2994046.9090484907,-6369565.409708768,-548227.179906487,-737.1682967773561,971.9113371953575,-7412.045833565135
705.7387124694957,-3020818.050101177,-6324915.136937311,-844202.1591660281,-600.8304851061345,1259.6548107852063,-7380.484108720055
746.6435977703941,-3042525.087485841,-6267412.774281041,-1145204.8194859037,-460.3484126883691,1551.4075188477593,-7334.391599255271
951.168024274886,-3064172.7651182767,-5804781.974446431,-2606444.465104277,249.38965762593386,2954.4816821547,-6898.38930561304
1000.2878198164921,-3047746.7852266836,-5651802.847557937,-2941580.854269907,419.2658333984206,3272.908889864201,-6744.186451968138
1245.8867975245223,-2842571.076482969,-4665393.664449789,-4479409.139616338,1241.929502169494,4713.858914740599,-5707.777928286427
1311.5903083361688,-2754105.680828732,-4344550.194898534,-4843200.654646756,1449.8361993938834,5048.562667072734,-5361.459905501046
1373.7767250061024,-2657994.9187156535,-4021336.2031899784,-5165787.927754099,1640.086744722052,5342.647226991187,-5009.616238780535
1430.8734610138838,-2559514.3598595276,-3709070.836958512,-5442132.77345421,1808.4548924659125,5592.106262451123,-4667.300704290849
1483.9336590580224,-2459538.241790232,-3406611.884638115,-5680995.591925049,1958.9473861423314,5805.464693927777,-4333.78232043545
1533.7526483542342,-2358543.426040766,-3112749.45623075,-5888836.0617062105,2094.5742671817493,5988.981900589553,-4008.0967903492215
1580.7506773745542,-2257201.345228443,-2827513.1734724436,-6069784.373685216,2217.137643211547,6146.715667191011,-3690.555745475146
1625.106238094662,-2156387.4416990196,-2551831.5257356376,-6226676.359314141,2327.7362491268213,6281.514843458103,-3382.423028563121
1666.8517345037126,-2057124.5887726783,-2287181.192219899,-6361702.92607056,2427.102835273837,6395.632528725997,-3085.55332045212
1705.9337472961581,-1960521.3682835929,-2035325.998808209,-6476770.417407107,2515.801516821771,6491.0617247466,-2802.1148165943
1742.2559481516819,-1867703.9070742766,-1798098.4654212217,-6573698.524750813,2594.347638874078,6569.714525382915,-2534.350091719293
1775.7141861864093,-1779739.1219739246,-1577196.9447911258,-6654319.598351662,2663.28219463236,6633.505649183277,-2284.348228730807
1943.0053763600463,-1308480.7591334828,-448442.5214747401,-6929551.219723653,2955.859893365064,6825.413503195269,-997.4103735544832
1973.5181091656445,-1217617.1301476806,-239981.1925664181,-6956335.637393037,2999.402705905944,6837.279971329799,-758.0567448689773
2126.081773193636,-746045.1244221918,801721.7398923992,-6980213.690785807,3169.01994340012,6788.753971334777,445.76602151683545
2169.362746364342,-608145.7386093789,1094593.537094729,-6953540.4675117135,3202.1431301591733,6742.3703704028385,786.5828527516611
2203.4380367396147,-498656.66593340226,1323573.4031491375,-6922181.365994726,3223.4575095790065,6695.80211447829,1053.7965586494233
2227.9280016523367,-419554.21990124974,1487086.2543864057,-6894030.794518116,3236.1662031460087,6656.900524240792,1245.0229493892623
2243.509298100366,-369075.29715091153,1590600.6190987243,-6873686.731527486,3243.1109134678204,6629.7982447958975,1366.262197147938
2321.4157803405124,-115439.38073961581,2101061.052459366,-6743801.223651572,3264.458210512894,6467.142982463473,1966.247941427903
2339.3506992180533,-56874.14596318568,2216659.6732348274,-6707312.645010902,3266.2052874138767,6423.365718051165,2102.6284187614187
2429.025293605757,235836.170018073,2781729.504378602,-6488574.554942992,3257.1239823824403,6169.744426660768,2772.191553960905
2462.8904278190794,345962.3321589061,2988819.674295802,-6390506.522093569,3245.9805722676842,6059.219216299043,3018.86858275394
2632.2160988856917,887027.496098489,3960919.85443469,-5778729.96232101,3127.54331930226,5391.669896914596,4187.74676902351
2683.956591187329,1047422.7917046944,4233746.859751076,-5553410.010475772,3070.8799171125133,5151.63434274168,4519.683535159621
2747.765928698629,1240809.753063974,4552461.902052682,-5252438.136670951,2988.1874134546188,4834.117688331703,4910.184880624887
2816.950157198383,1443996.8671107735,4874271.030451385,-4898807.785999946,2882.9518321233495,4464.621609137368,5308.0779554749115
2884.672010713871,1635316.9687129243,5163704.422981128,-4526925.130494825,2764.7682322921128,4079.366322198366,5669.8341711613775
2947.6047162740933,1805512.642546499,5408654.137830749,-4160218.6636115224,2642.0168957416504,3702.1987419964307,5979.745900109127
3005.2861903773587,1954408.4448527875,5611871.533898827,-3807671.8454727908,2519.0449063421925,3341.761768447171,6240.342690978195
3058.2771617485246,2084713.5360599326,5779928.694484171,-3471105.0522238286,2397.6555630555113,2999.3997249984677,6459.093899582494
3107.2238973854437,2199185.975357452,5918821.710798344,-3150381.5895283213,2278.7090925647904,2674.5731984019944,6642.945077068322
3152.5923397178894,2299959.9992847536,6033206.356197068,-2845441.1982092853,2162.894078859936,2366.9095655375263,6797.286434219019
3194.6411217389095,2388569.7241936014,6126647.261770589,-2556865.0941574387,2051.01262244077,2076.7415056701298,6926.200257926698
3233.4470029995637,2466097.402275422,6201978.948081706,-2285979.5434507285,1944.0810032223899,1805.1843651916056,7032.871208423741
3268.9190915855947,2533280.4738325737,6261568.3171729,-2034935.8061455782,1843.4049451987507,1554.1970419447323,7119.884387032498
3300.785601663152,2590551.752359342,6307476.139812838,-1806920.4942215858,1750.6964584339883,1326.7780328126623,7189.397198865713
3460.1181520509385,2830894.0981746893,6427135.581790951,-640923.5621062622,1258.8469032301116,171.46199179466709,7411.45710750675
3487.9971817539613,2864734.0729315695,6429076.472911094,-434046.68065421324,1168.6015555845531,-32.24041519348752,7428.489576311163
3627.392330269074,2995446.9351525106,6353714.59311334,602425.4493584082,703.3203580464514,-1047.1533077221627,7415.111469401722
3677.3772805166923,3026329.978413872,6292370.528574938,972037.987183339,532.0738573913874,-1406.7808731830858,7370.336679307091
3739.2199824353925,3052628.617431378,6191748.336478408,1425394.7755549492,318.10852257025005,-1846.1928324228325,7285.951832386611
3819.843439427312,3066958.7781398674,6020195.151731347,2006819.775665385,37.139379819659375,-2406.880303678323,7128.366720203446
4029.7774253392463,2998048.6828751634,5368683.9640834015,3440668.5430811606,-690.9802535941415,-3774.135986543457,6474.357950509113
4177.892706682285,2858732.323772967,4745034.433500815,4352710.146925085,-1186.3249308003994,-4629.514053411571,5815.215947922552
4329.412607730486,2642433.048581666,3984664.355741487,5173152.508447481,-1662.5344749596254,-5385.200089372689,4990.601368539301
4459.446624455221,2401504.610178183,3248296.5033857655,5770218.98820676,-2037.1441711105656,-5922.385932506816,4177.841830176854
4540.251368064817,2228160.7342066383,2758244.8743292848,6085915.620538281,-2250.6340842975064,-6199.368181952813,3631.1138337313705
4580.6537398696155,2135183.8539387356,2505285.8348789224,6226910.471731617,-2351.197918671055,-6320.678965735693,3347.334910510293
4782.665598893605,1614382.9782729372,1180228.6603728915,6753496.167104932,-2784.9261210717973,-6746.997768317393,1845.8359921046363
4820.42186579014,1507950.5846534704,924596.7362150527,6817678.636488036,-2852.175980725678,-6792.332211442675,1553.535548998957
4848.1805131381725,1428126.948036335,735672.0765850747,6857800.251686671,-2898.6652928789936,-6818.620610194285,1337.0005504476571
4986.9737498783325,1011621.7944677672,-215312.21178763732,6967481.109638955,-3092.143267631814,-6859.888314879484,240.62777735933741
5011.891285504807,934224.1368499086,-386147.31995701045,6971009.444393983,-3119.794311437854,-6851.341416278474,42.55777418600719
5136.478963637175,538425.4687632429,-1233811.3910265672,6914688.193659408,-3224.5633471467154,-6736.0961911688755,-945.3044324589548
5185.537598149585,379566.555603137,-1562431.4978389328,6858848.944329904,-3250.2427386757267,-6657.876123084366,-1330.5962955913233
5236.673904351364,212878.0949507518,-1900393.2822517161,6780620.1464188825,-3267.5154896906956,-6556.918185090285,-1728.2531295944952
5302.949912315519,-4031.8235848372315,-2329841.677968027,6649206.533029301,-3275.4073707037123,-6397.072086791393,-2235.7221611525365
5405.0169628574085,-337658.04261432285,-2967665.0320660397,6382034.644361298,-3255.518555922551,-6088.703894139718,-2994.2776254915325
5592.241247887086,-936404.3595151594,-4041000.6890325504,5698172.05185034,-3119.2388380971274,-5338.994352036987,-4286.518345049567
5730.965518035245,-1357303.4661943691,-4734770.160329864,5043401.464341234,-2937.839875937772,-4644.9508330182525,-5136.042379227721
5972.457689883159,-2014188.1444371676,-5687975.226119656,3650414.378518593,-2472.374247306581,-3205.9643555885723,-6336.390048289294
6124.394140665454,-2361836.9156667204,-6098525.596653205,2644122.8022844824,-2093.91040228677,-2186.5938634173312,-6880.795150586051
6234.207362466612,-2575102.7150888727,-6296396.559339616,1872164.1628500167,-1785.8425397088527,-1413.1415880197565,-7162.619857494345
6320.372556625209,-2717924.883287529,-6391485.944492235,1247981.2774630089,-1526.9273648829521,-792.4967760430045,-7315.248337828723
